학력,학과,학점,어학,,,,,,,,,,,,
지방4년,컴퓨터학부, 학점 3.7/4.5, 토익 840, 토스 Level7, 오픽 IH, 해외경험 1회, 인턴 1회, 수상 1회,3,702, 읽음,,,,
수도권4년,컴퓨터학부, 학점 3.4/4.5, 토익 845,7,509, 읽음,,,,,,,,,
수도권4년,컴퓨터학부, 학점 2.7/4.5,0, 자원봉사 2회,9,376, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.3/4.5, 토익 865, 토스 Level6, 수상 1회,10,754, 읽음,,,,,,,
수도권4년, 정보통신공학, 학점 3.8/4.5, 토익 600,3,879, 읽음,,,,,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,7,104, 읽음,,,,,,
지방4년,전기전자, 학점 3.7/4.5, 토익 735, 토스 Level6,6,107, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.6/4.5, 오픽 M2, 인턴 1회,6,956, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.6/4.5, 토익 805, 토스 Level5, 자격증 1개,10,134, 읽음,,,,,,,
수도권4년, 정보통신공학, 학점 2.92/4.5,0, 사회활동 1회, 자원봉사 2회,6,8, 읽음,,,,,,,
수도권4년, 항공재료공학과, 학점 3.15/4.5, 토익 890, 토스 Level6, 자격증 3개, 인턴 1회, 수상 1회,37,349, 읽음,,,,,
수도권4년, 소프트웨어공학, 학점 3.4/4.5,0, 수상 1회,11,102, 읽음,,,,,,,,
지방4년,컴퓨터학부, 학점 4.2/4.5, 토익 800, 토스 Level6,4,529, 읽음,,,,,,,,
수도권4년,산업공학, 학점 3.47/4.5, 토익 755, 오픽 IM2, 자격증 3개, 인턴 1회, 자원봉사 3회,12,230, 읽음,,,,,
수도권4년, 융합전자공학부, 학점 3.4/4.5, 토익 925, 자격증 1개, 인턴 1회,6,613, 읽음,,,,,,,
수도권4년, 응용통계학과, 학점 3.33/4.3, 토익 950, 오픽 AL, 인턴 2회, 수상 3회, 동아리 1회,151,678, 읽음,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,32,609, 읽음,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,16,838, 읽음,,,,,
수도권4년, 항공재료공학과, 학점 3.15/4.5, 토익 890, 토스 Level6, 자격증 3개, 인턴 1회, 수상 1회,9,274, 읽음,,,,,
수도권4년, 정보통신공학, 학점 3.58/4.5, 토익 945, 토스 AL, 자격증 2개, 인턴 2회, 수상 1회, 사회활동 1회,8,296, 읽음,,,,
수도권4년, 정보통신공학, 학점 3.6/4.5, 토익 845, 수상 1회,10,102, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.4/4.5, 토익 820, 토스 Level6, 자격증 1개,10,525, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,13,733, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.2/4.5,0,17,639, 읽음,,,,,,,,,
수도권4년, 문화기획, 학점 3.97/4.5,0,395, 읽음,,,,,,,,,,
수도권4년, 정보통신공학, 학점 4.02/4.5, 토익 810, 토스 Level6, 자격증 3개, 인턴 1회,11,711, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.56/4.5, 토익 805, 인턴 1회,126,607, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.3/4.5, 토익 865, 토스 Level6, 수상 1회,34,363, 읽음,,,,,,,
수도권4년,전기전자, 학점 2.74/4.5, 토익 620, 토스 Level3, 자격증 4개,18,140, 읽음,,,,,,,
대학원, 휴먼ICT융합학과, 학점 4.07/4.5, 오픽 IM2, 자격증 5개, 인턴 2회, 수상 2회,16,219, 읽음,,,,,,
수도권4년, 정보통신공학, 학점 3.68/4.5, 토익 845, 토스 Level6, 자격증 2개, 수상 1회,13,503, 읽음,,,,,,
수도권4년, 응용통계학과, 학점 3.64/4.5, 토스 Level6, 자격증 4개, 인턴 1회, 수상 2회, 사회활동 2회,14,399, 읽음,,,,,
수도권4년, 정보통신공학, 학점 3.58/4.5, 토익 945, 토스 AL, 자격증 2개, 인턴 2회, 수상 1회, 사회활동 1회,12,322, 읽음,,,,
수도권4년,컴퓨터학부, 학점 3.4/4.5, 토익 820, 토스 Level6, 자격증 1개,5,580, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 4.12/4.5,0, 인턴 1회,8,569, 읽음,,,,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 오픽 IM2, 자격증 3개, 해외경험 1회, 수상 2회,8,812, 읽음,,,,,,
해외대학, SoftwareEngineering, 학점 3.8/4.5,0, 해외경험 1회, 수상 1회, 자원봉사 1회,12,159, 읽음,,,,,,
